Relative Time	Process Name	PID	Operation	Path	Result	Detail
00:00:54.6891215	test_exiv2_integration.exe	12564	CreateFile	..\test_exiv2_integration\image_0	SUCCESS	Desired Access: Generic Read/Write, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Overwritten
00:00:54.6892987	test_exiv2_integration.exe	12564	CloseFile	..\test_exiv2_integration\image_0	SUCCESS	
00:00:54.6896818	test_exiv2_integration.exe	12564	CreateFile	..\test_exiv2_integration\image_0	SUCCESS	Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened
00:00:54.6897340	test_exiv2_integration.exe	12564	QueryNetworkOpenInformationFile	..\test_exiv2_integration\image_0	SUCCESS	CreationTime: 10.09.2015 15:31:52, LastAccessTime: 10.09.2015 15:31:52, LastWriteTime: 10.09.2015 15:46:12, ChangeTime: 10.09.2015 15:46:12, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A
00:00:54.6897578	test_exiv2_integration.exe	12564	CloseFile	..\test_exiv2_integration\image_0	SUCCESS	
00:00:54.6898251	test_exiv2_integration.exe	12564	CreateFile	..\test_exiv2_integration\image_0	SUCCESS	Desired Access: Generic Read/Write, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened
00:00:54.6898719	test_exiv2_integration.exe	12564	QueryNetworkOpenInformationFile	..\test_exiv2_integration\image_0	SUCCESS	CreationTime: 10.09.2015 15:31:52, LastAccessTime: 10.09.2015 15:31:52, LastWriteTime: 10.09.2015 15:46:12, ChangeTime: 10.09.2015 15:46:12, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A
00:00:54.6898949	test_exiv2_integration.exe	12564	WriteFile	..\test_exiv2_integration\image_0	SUCCESS	Offset: 0, Length: 460, Priority: Normal
00:00:54.6901825	test_exiv2_integration.exe	12564	CloseFile	..\test_exiv2_integration\image_0	SUCCESS	
00:00:54.6902894	test_exiv2_integration.exe	12564	CreateFile	..\test_exiv2_integration\image_0	SUCCESS	Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened
00:00:54.6903374	test_exiv2_integration.exe	12564	QueryNetworkOpenInformationFile	..\test_exiv2_integration\image_0	SUCCESS	CreationTime: 10.09.2015 15:31:52, LastAccessTime: 10.09.2015 15:31:52, LastWriteTime: 10.09.2015 15:46:12, ChangeTime: 10.09.2015 15:46:12, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A
00:00:54.6917362	test_exiv2_integration.exe	12564	ReadFile	..\test_exiv2_integration\image_0	SUCCESS	Offset: 0, Length: 460, Priority: Normal
00:00:54.6920172	test_exiv2_integration.exe	12564	CloseFile	..\test_exiv2_integration\image_0	SUCCESS	
00:00:54.6921660	test_exiv2_integration.exe	12564	CreateFile	..\test_exiv2_integration\image_0	SUCCESS	Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened
00:00:54.6922113	test_exiv2_integration.exe	12564	QueryNetworkOpenInformationFile	..\test_exiv2_integration\image_0	SUCCESS	CreationTime: 10.09.2015 15:31:52, LastAccessTime: 10.09.2015 15:31:52, LastWriteTime: 10.09.2015 15:46:12, ChangeTime: 10.09.2015 15:46:12, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A
00:00:54.6922381	test_exiv2_integration.exe	12564	ReadFile	..\test_exiv2_integration\image_0	SUCCESS	Offset: 0, Length: 460, Priority: Normal
00:00:54.6923347	test_exiv2_integration.exe	12564	QueryDirectory	..\test_exiv2_integration\image_0	SUCCESS	Filter: image_0, 1: image_0
00:00:54.6924938	test_exiv2_integration.exe	12564	QueryDirectory	..\test_exiv2_integration\image_0	SUCCESS	Filter: image_0, 1: image_0
00:00:54.6925735	test_exiv2_integration.exe	12564	CreateFileMapping	..\test_exiv2_integration\image_0	FILE LOCKED WITH ONLY READERS	SyncType: SyncTypeCreateSection, PageProtection: 
00:00:54.6925807	test_exiv2_integration.exe	12564	QueryStandardInformationFile	..\test_exiv2_integration\image_0	SUCCESS	AllocationSize: 4.096, EndOfFile: 460, NumberOfLinks: 1, DeletePending: False, Directory: False
00:00:54.6925955	test_exiv2_integration.exe	12564	CreateFileMapping	..\test_exiv2_integration\image_0	SUCCESS	SyncType: SyncTypeOther
00:00:54.6932590	test_exiv2_integration.exe	12564	CloseFile	..\test_exiv2_integration\image_0	SUCCESS	
00:00:54.6957052	test_exiv2_integration.exe	12564	CreateFile	..\test_exiv2_integration\image_0	SUCCESS	Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened
00:00:54.6957571	test_exiv2_integration.exe	12564	QueryNetworkOpenInformationFile	..\test_exiv2_integration\image_0	SUCCESS	CreationTime: 10.09.2015 15:31:52, LastAccessTime: 10.09.2015 15:31:52, LastWriteTime: 10.09.2015 15:46:12, ChangeTime: 10.09.2015 15:46:12, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A
00:00:54.6957894	test_exiv2_integration.exe	12564	ReadFile	..\test_exiv2_integration\image_0	SUCCESS	Offset: 0, Length: 460, Priority: Normal
00:00:54.6958703	test_exiv2_integration.exe	12564	QueryDirectory	..\test_exiv2_integration\image_0	SUCCESS	Filter: image_0, 1: image_0
